C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0000.jpg, dataset\Cats\0000.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0254.jpg, dataset\Cats\0254.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0255.jpg, dataset\Cats\0255.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0256.jpg, dataset\Cats\0256.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0257.jpg, dataset\Cats\0257.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0258.jpg, dataset\Cats\0258.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0259.jpg, dataset\Cats\0259.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0260.jpg, dataset\Cats\0260.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0261.jpg, dataset\Cats\0261.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0262.jpg, dataset\Cats\0262.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0263.jpg, dataset\Cats\0263.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0264.jpg, dataset\Cats\0264.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0265.jpg, dataset\Cats\0265.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0266.jpg, dataset\Cats\0266.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0267.jpg, dataset\Cats\0267.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0268.jpg, dataset\Cats\0268.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0269.jpg, dataset\Cats\0269.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0270.jpg, dataset\Cats\0270.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0271.jpg, dataset\Cats\0271.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0272.jpg, dataset\Cats\0272.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0273.jpg, dataset\Cats\0273.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0274.jpg, dataset\Cats\0274.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0275.jpg, dataset\Cats\0275.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0276.jpg, dataset\Cats\0276.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0277.jpg, dataset\Cats\0277.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0278.jpg, dataset\Cats\0278.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0279.jpg, dataset\Cats\0279.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0280.jpg, dataset\Cats\0280.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0281.jpg, dataset\Cats\0281.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0282.jpg, dataset\Cats\0282.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0283.jpg, dataset\Cats\0283.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0284.jpg, dataset\Cats\0284.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0285.jpg, dataset\Cats\0285.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0286.jpg, dataset\Cats\0286.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0287.jpg, dataset\Cats\0287.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0288.jpg, dataset\Cats\0288.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0289.jpg, dataset\Cats\0289.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0290.jpg, dataset\Cats\0290.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0291.jpg, dataset\Cats\0291.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0292.jpg, dataset\Cats\0292.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0293.jpg, dataset\Cats\0293.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0294.jpg, dataset\Cats\0294.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0295.jpg, dataset\Cats\0295.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0296.jpg, dataset\Cats\0296.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0297.jpg, dataset\Cats\0297.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0298.jpg, dataset\Cats\0298.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0299.jpg, dataset\Cats\0299.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0300.jpg, dataset\Cats\0300.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0301.jpg, dataset\Cats\0301.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0302.jpg, dataset\Cats\0302.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0303.jpg, dataset\Cats\0303.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0304.jpg, dataset\Cats\0304.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0305.jpg, dataset\Cats\0305.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0306.jpg, dataset\Cats\0306.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0307.jpg, dataset\Cats\0307.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0308.jpg, dataset\Cats\0308.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0309.jpg, dataset\Cats\0309.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0310.jpg, dataset\Cats\0310.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0311.jpg, dataset\Cats\0311.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0312.jpg, dataset\Cats\0312.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0313.jpg, dataset\Cats\0313.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0314.jpg, dataset\Cats\0314.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0315.jpg, dataset\Cats\0315.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0316.jpg, dataset\Cats\0316.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0317.jpg, dataset\Cats\0317.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0318.jpg, dataset\Cats\0318.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0319.jpg, dataset\Cats\0319.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0320.jpg, dataset\Cats\0320.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0321.jpg, dataset\Cats\0321.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0322.jpg, dataset\Cats\0322.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0323.jpg, dataset\Cats\0323.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0324.jpg, dataset\Cats\0324.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0325.jpg, dataset\Cats\0325.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0326.jpg, dataset\Cats\0326.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0327.jpg, dataset\Cats\0327.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0328.jpg, dataset\Cats\0328.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0329.jpg, dataset\Cats\0329.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0330.jpg, dataset\Cats\0330.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0331.jpg, dataset\Cats\0331.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0332.jpg, dataset\Cats\0332.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0333.jpg, dataset\Cats\0333.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0334.jpg, dataset\Cats\0334.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0335.jpg, dataset\Cats\0335.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0336.jpg, dataset\Cats\0336.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0337.jpg, dataset\Cats\0337.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0338.jpg, dataset\Cats\0338.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0339.jpg, dataset\Cats\0339.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0340.jpg, dataset\Cats\0340.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0341.jpg, dataset\Cats\0341.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0342.jpg, dataset\Cats\0342.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0343.jpg, dataset\Cats\0343.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0344.jpg, dataset\Cats\0344.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0345.jpg, dataset\Cats\0345.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0346.jpg, dataset\Cats\0346.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0347.jpg, dataset\Cats\0347.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0348.jpg, dataset\Cats\0348.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0349.jpg, dataset\Cats\0349.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0350.jpg, dataset\Cats\0350.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0351.jpg, dataset\Cats\0351.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0352.jpg, dataset\Cats\0352.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0353.jpg, dataset\Cats\0353.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0354.jpg, dataset\Cats\0354.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0355.jpg, dataset\Cats\0355.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0356.jpg, dataset\Cats\0356.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0357.jpg, dataset\Cats\0357.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0358.jpg, dataset\Cats\0358.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0359.jpg, dataset\Cats\0359.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0360.jpg, dataset\Cats\0360.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0361.jpg, dataset\Cats\0361.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0362.jpg, dataset\Cats\0362.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0363.jpg, dataset\Cats\0363.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0364.jpg, dataset\Cats\0364.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0365.jpg, dataset\Cats\0365.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0366.jpg, dataset\Cats\0366.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0367.jpg, dataset\Cats\0367.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0368.jpg, dataset\Cats\0368.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0369.jpg, dataset\Cats\0369.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0370.jpg, dataset\Cats\0370.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0371.jpg, dataset\Cats\0371.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0372.jpg, dataset\Cats\0372.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0373.jpg, dataset\Cats\0373.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0374.jpg, dataset\Cats\0374.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0375.jpg, dataset\Cats\0375.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0376.jpg, dataset\Cats\0376.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0377.jpg, dataset\Cats\0377.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0378.jpg, dataset\Cats\0378.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0379.jpg, dataset\Cats\0379.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0380.jpg, dataset\Cats\0380.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0381.jpg, dataset\Cats\0381.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0382.jpg, dataset\Cats\0382.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0383.jpg, dataset\Cats\0383.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0384.jpg, dataset\Cats\0384.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0385.jpg, dataset\Cats\0385.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0386.jpg, dataset\Cats\0386.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0387.jpg, dataset\Cats\0387.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0388.jpg, dataset\Cats\0388.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0389.jpg, dataset\Cats\0389.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0390.jpg, dataset\Cats\0390.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0391.jpg, dataset\Cats\0391.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0392.jpg, dataset\Cats\0392.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0393.jpg, dataset\Cats\0393.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0394.jpg, dataset\Cats\0394.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0395.jpg, dataset\Cats\0395.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0396.jpg, dataset\Cats\0396.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0397.jpg, dataset\Cats\0397.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0398.jpg, dataset\Cats\0398.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0399.jpg, dataset\Cats\0399.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0400.jpg, dataset\Cats\0400.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0401.jpg, dataset\Cats\0401.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0402.jpg, dataset\Cats\0402.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0403.jpg, dataset\Cats\0403.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0404.jpg, dataset\Cats\0404.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0405.jpg, dataset\Cats\0405.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0406.jpg, dataset\Cats\0406.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0407.jpg, dataset\Cats\0407.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0408.jpg, dataset\Cats\0408.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0409.jpg, dataset\Cats\0409.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0410.jpg, dataset\Cats\0410.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0411.jpg, dataset\Cats\0411.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0412.jpg, dataset\Cats\0412.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0413.jpg, dataset\Cats\0413.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0414.jpg, dataset\Cats\0414.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0415.jpg, dataset\Cats\0415.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0416.jpg, dataset\Cats\0416.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0417.jpg, dataset\Cats\0417.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0418.jpg, dataset\Cats\0418.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0419.jpg, dataset\Cats\0419.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0420.jpg, dataset\Cats\0420.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0421.jpg, dataset\Cats\0421.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0422.jpg, dataset\Cats\0422.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0423.jpg, dataset\Cats\0423.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0424.jpg, dataset\Cats\0424.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0425.jpg, dataset\Cats\0425.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0426.jpg, dataset\Cats\0426.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0427.jpg, dataset\Cats\0427.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0428.jpg, dataset\Cats\0428.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0429.jpg, dataset\Cats\0429.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0430.jpg, dataset\Cats\0430.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0431.jpg, dataset\Cats\0431.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0432.jpg, dataset\Cats\0432.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0433.jpg, dataset\Cats\0433.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0434.jpg, dataset\Cats\0434.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0435.jpg, dataset\Cats\0435.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0436.jpg, dataset\Cats\0436.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0437.jpg, dataset\Cats\0437.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0438.jpg, dataset\Cats\0438.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0439.jpg, dataset\Cats\0439.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0440.jpg, dataset\Cats\0440.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0441.jpg, dataset\Cats\0441.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0442.jpg, dataset\Cats\0442.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0443.jpg, dataset\Cats\0443.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0444.jpg, dataset\Cats\0444.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0445.jpg, dataset\Cats\0445.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0446.jpg, dataset\Cats\0446.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0447.jpg, dataset\Cats\0447.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0448.jpg, dataset\Cats\0448.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0449.jpg, dataset\Cats\0449.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0450.jpg, dataset\Cats\0450.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0451.jpg, dataset\Cats\0451.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0452.jpg, dataset\Cats\0452.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0453.jpg, dataset\Cats\0453.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0454.jpg, dataset\Cats\0454.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0455.jpg, dataset\Cats\0455.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0456.jpg, dataset\Cats\0456.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0457.jpg, dataset\Cats\0457.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0458.jpg, dataset\Cats\0458.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0459.jpg, dataset\Cats\0459.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0460.jpg, dataset\Cats\0460.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0461.jpg, dataset\Cats\0461.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0462.jpg, dataset\Cats\0462.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0463.jpg, dataset\Cats\0463.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0464.jpg, dataset\Cats\0464.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0465.jpg, dataset\Cats\0465.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0466.jpg, dataset\Cats\0466.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0467.jpg, dataset\Cats\0467.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0468.jpg, dataset\Cats\0468.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0469.jpg, dataset\Cats\0469.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0470.jpg, dataset\Cats\0470.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0471.jpg, dataset\Cats\0471.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0472.jpg, dataset\Cats\0472.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0473.jpg, dataset\Cats\0473.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0474.jpg, dataset\Cats\0474.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0475.jpg, dataset\Cats\0475.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0476.jpg, dataset\Cats\0476.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0477.jpg, dataset\Cats\0477.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0478.jpg, dataset\Cats\0478.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0479.jpg, dataset\Cats\0479.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0480.jpg, dataset\Cats\0480.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0481.jpg, dataset\Cats\0481.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0482.jpg, dataset\Cats\0482.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0483.jpg, dataset\Cats\0483.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0484.jpg, dataset\Cats\0484.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0485.jpg, dataset\Cats\0485.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0486.jpg, dataset\Cats\0486.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0487.jpg, dataset\Cats\0487.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0488.jpg, dataset\Cats\0488.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0489.jpg, dataset\Cats\0489.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0490.jpg, dataset\Cats\0490.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0491.jpg, dataset\Cats\0491.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0492.jpg, dataset\Cats\0492.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0493.jpg, dataset\Cats\0493.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0494.jpg, dataset\Cats\0494.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0495.jpg, dataset\Cats\0495.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0496.jpg, dataset\Cats\0496.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0497.jpg, dataset\Cats\0497.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0498.jpg, dataset\Cats\0498.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0499.jpg, dataset\Cats\0499.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0500.jpg, dataset\Cats\0500.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0501.jpg, dataset\Cats\0501.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0502.jpg, dataset\Cats\0502.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0503.jpg, dataset\Cats\0503.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0504.jpg, dataset\Cats\0504.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0505.jpg, dataset\Cats\0505.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0506.jpg, dataset\Cats\0506.jpg, Cat
